district_id,lb_code,lb_name_english,lb_type_csn,lb_type,district_name,lb_name_full
1,G010506,Kuttichal,1,Grama Panchayat,Thiruvananthapuram District ,"Kuttichal Grama Panchayat, Thiruvananthapuram District "
1,G010507,Tholicode,1,Grama Panchayat,Thiruvananthapuram District ,"Tholicode Grama Panchayat, Thiruvananthapuram District "
1,G010508,Kattakkada,1,Grama Panchayat,Thiruvananthapuram District ,"Kattakkada Grama Panchayat, Thiruvananthapuram District "
1,G010601,Anad,1,Grama Panchayat,Thiruvananthapuram District ,"Anad Grama Panchayat, Thiruvananthapuram District "
1,G010602,Aruvikkara,1,Grama Panchayat,Thiruvananthapuram District ,"Aruvikkara Grama Panchayat, Thiruvananthapuram District "
1,G010603,Panavoor,1,Grama Panchayat,Thiruvananthapuram District ,"Panavoor Grama Panchayat, Thiruvananthapuram District "
1,G010604,Karakulam,1,Grama Panchayat,Thiruvananthapuram District ,"Karakulam Grama Panchayat, Thiruvananthapuram District "
1,G010605,Vembayam,1,Grama Panchayat,Thiruvananthapuram District ,"Vembayam Grama Panchayat, Thiruvananthapuram District "
1,G010701,Andoorkonam,1,Grama Panchayat,Thiruvananthapuram District ,"Andoorkonam Grama Panchayat, Thiruvananthapuram District "
1,G010702,Kadinamkulam,1,Grama Panchayat,Thiruvananthapuram District ,"Kadinamkulam Grama Panchayat, Thiruvananthapuram District "
1,G010703,Mangalapuram,1,Grama Panchayat,Thiruvananthapuram District ,"Mangalapuram Grama Panchayat, Thiruvananthapuram District "
1,G010704,Pothencode,1,Grama Panchayat,Thiruvananthapuram District ,"Pothencode Grama Panchayat, Thiruvananthapuram District "
1,G010801,Balaramapuram,1,Grama Panchayat,Thiruvananthapuram District ,"Balaramapuram Grama Panchayat, Thiruvananthapuram District "
1,G010802,Pallichal,1,Grama Panchayat,Thiruvananthapuram District ,"Pallichal Grama Panchayat, Thiruvananthapuram District "
1,G010803,Maranalloor,1,Grama Panchayat,Thiruvananthapuram District ,"Maranalloor Grama Panchayat, Thiruvananthapuram District "
1,G010804,Malayinkeezh,1,Grama Panchayat,Thiruvananthapuram District ,"Malayinkeezh Grama Panchayat, Thiruvananthapuram District "
1,G010805,Vilappil,1,Grama Panchayat,Thiruvananthapuram District ,"Vilappil Grama Panchayat, Thiruvananthapuram District "
